Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,F9 v1.0B0003.1,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",F9 v1.0B0003.1,launch_outcome,4 June 2010,time
2,F9 v1.0B0004.1,Dragon,0,LEO,NASA,Success,F9 v1.0B0004.1,launch_outcome,8 December 2010,time
3,F9 v1.0B0005.1,Dragon,525 kg,LEO,NASA,Success,F9 v1.0B0005.1,launch_outcome,22 May 2012,time
4,F9 v1.0B0006.1,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",F9 v1.0B0006.1,launch_outcome,8 October 2012,time
5,F9 v1.0B0007.1,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",F9 v1.0B0007.1,launch_outcome,1 March 2013,time
6,F9 v1.1B1003,CASSIOPE,500 kg,Polar orbit,MDA,Success,F9 v1.1B1003,launch_outcome,29 September 2013,time
7,F9 v1.1,SES-8,"3,170 kg",GTO,SES,Success,F9 v1.1,launch_outcome,3 December 2013,time
8,F9 v1.1,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,F9 v1.1,launch_outcome,6 January 2014,time
9,F9 v1.1,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",F9 v1.1,launch_outcome,18 April 2014,time
10,F9 v1.1,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1,launch_outcome,14 July 2014,time
11,F9 v1.1,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,launch_outcome,5 August 2014,time
12,F9 v1.1,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1,launch_outcome,7 September 2014,time
13,F9 v1.1,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,F9 v1.1,launch_outcome,21 September 2014,time
14,F9 v1.1,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,F9 v1.1,launch_outcome,10 January 2015,time
15,F9 v1.1,DSCOVR,570 kg,HEO,USAF,"Success
",F9 v1.1,launch_outcome,11 February 2015,time
16,F9 v1.1,ABS-3A,"4,159 kg",GTO,ABS,"Success
",F9 v1.1,launch_outcome,2 March 2015,time
17,F9 v1.1,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",F9 v1.1,launch_outcome,14 April 2015,time
18,F9 v1.1,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",F9 v1.1,launch_outcome,27 April 2015,time
19,F9 v1.1,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,F9 v1.1,launch_outcome,28 June 2015,time
20,F9 FT,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",F9 FT,launch_outcome,22 December 2015,time
21,F9 v1.1,Jason-3,553 kg,LEO,NASA,"Success
",F9 v1.1,launch_outcome,17 January 2016,time
22,F9 FT,SES-9,"5,271 kg",GTO,SES,"Success
",F9 FT,launch_outcome,4 March 2016,time
23,F9 FT,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,F9 FT,launch_outcome,8 April 2016,time
24,F9 FT,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,launch_outcome,6 May 2016,time
25,F9 FT,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",F9 FT,launch_outcome,27 May 2016,time
26,F9 FT,ABS-2A,"3,600 kg",GTO,ABS,"Success
",F9 FT,launch_outcome,15 June 2016,time
27,F9 FT,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",F9 FT,launch_outcome,18 July 2016,time
28,F9 FT,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,launch_outcome,14 August 2016,time
29,F9 FT,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT,launch_outcome,14 January 2017,time
30,F9 FT,SpaceX CRS-10,"2,490 kg",LEO,NASA,"Success
",F9 FT,launch_outcome,19 February 2017,time
31,F9 FT,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",F9 FT,launch_outcome,16 March 2017,time
32,F9 FT♺,SES-10,"5,300 kg",GTO,SES,Success,F9 FT♺,launch_outcome,30 March 2017,time
33,F9 FT,NROL-76,C,LEO,NRO,"Success
",F9 FT,launch_outcome,1 May 2017,time
34,F9 FT,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",F9 FT,launch_outcome,15 May 2017,time
35,F9 FT,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",F9 FT,launch_outcome,3 June 2017,time
36,F9 FTB1029.2,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,"Success
",F9 FTB1029.2,launch_outcome,23 June 2017,time
37,F9 FT,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",F9 FT,launch_outcome,25 June 2017,time
38,F9 FT,Intelsat 35e,"6,761 kg",GTO,Intelsat,"Success
",F9 FT,launch_outcome,5 July 2017,time
39,F9 B4,SpaceX CRS-12,"3,310 kg",LEO,NASA,"Success
",F9 B4,launch_outcome,14 August 2017,time
40,F9 FT,Formosat-5,475 kg,SSO,NSPO,"Success
",F9 FT,launch_outcome,24 August 2017,time
41,F9 B4,Boeing X-37B,"4,990 kg",LEO,USAF,"Success
",F9 B4,launch_outcome,7 September 2017,time
42,F9 B4,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B4,launch_outcome,9 October 2017,time
43,F9 FTB1031.2,SES-11,"5,200 kg",GTO,SES S.A.,"Success
",F9 FTB1031.2,launch_outcome,11 October 2017,time
44,F9 B4,Koreasat 5A,"3,500 kg",GTO,KT Corporation,"Success
",F9 B4,launch_outcome,30 October 2017,time
45,F9 FTB1035.2,SpaceX CRS-13,"2,205 kg",LEO,NASA,"Success
",F9 FTB1035.2,launch_outcome,15 December 2017,time
46,F9 FTB1036.2,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 FTB1036.2,launch_outcome,23 December 2017,time
47,F9 B4,Zuma,C,LEO,Northrop Grumman,Success,F9 B4,launch_outcome,8 January 2018,time
48,F9 FTB1032.2,GovSat-1,"4,230 kg",GTO,SES,Success,F9 FTB1032.2,launch_outcome,31 January 2018,time
49,F9 FTB1038.2,Paz,"2,150 kg",SSO,Hisdesat,Success,F9 FTB1038.2,launch_outcome,22 February 2018,time
50,F9 B4,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,F9 B4,launch_outcome,6 March 2018,time
51,F9 B4B1041.2,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 B4B1041.2,launch_outcome,30 March 2018,time
52,F9 B4B1039.2,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,F9 B4B1039.2,launch_outcome,2 April 2018,time
53,F9 B4,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,F9 B4,launch_outcome,18 April 2018,time
54,F9 B5B1046.1,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,F9 B5B1046.1,launch_outcome,11 May 2018,time
55,F9 B4B1043.2,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,F9 B4B1043.2,launch_outcome,22 May 2018,time
56,F9 B4B1040.2,SES-12,"5,384 kg",GTO,SES,Success,F9 B4B1040.2,launch_outcome,4 June 2018,time
57,F9 B4B1045.2,SpaceX CRS-15,"2,697 kg",LEO,NASA,Success,F9 B4B1045.2,launch_outcome,29 June 2018,time
58,F9 B5,Telstar 19V,"7,075 kg",GTO,Telesat,Success,F9 B5,launch_outcome,22 July 2018,time
59,F9 B5B1048,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 B5B1048,launch_outcome,25 July 2018,time
60,F9 B5B1046.2,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,F9 B5B1046.2,launch_outcome,7 August 2018,time
61,F9 B5,Telstar 18V,"7,060 kg",GTO,Telesat,Success,F9 B5,launch_outcome,10 September 2018,time
62,F9 B5B1048.2,SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,F9 B5B1048.2,launch_outcome,8 October 2018,time
63,F9 B5B1047.2,Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,F9 B5B1047.2,launch_outcome,15 November 2018,time
64,F9 B5B1046.3,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,Success,F9 B5B1046.3,launch_outcome,3 December 2018,time
65,F9 B5,SpaceX CRS-16,"2,500 kg",LEO,NASA,"Success
",F9 B5,launch_outcome,5 December 2018,time
66,F9 B5,GPS III,"4,400 kg",MEO,USAF,Success,F9 B5,launch_outcome,23 December 2018,time
67,F9 B5B1049.2,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B5B1049.2,launch_outcome,11 January 2019,time
68,F9 B5B1048.3,Nusantara Satu,"4,850 kg",GTO,PSN,"Success
",F9 B5B1048.3,launch_outcome,22 February 2019,time
69,F9 B5[268],Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",F9 B5[268],launch_outcome,2 March 2019,time
70,F9 B5,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",F9 B5,launch_outcome,4 May 2019,time
71,F9 B5B1049.3,Starlink,"13,620 kg",LEO,SpaceX,"Success
",F9 B5B1049.3,launch_outcome,24 May 2019,time
72,F9 B5B1051.2,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,"Success
",F9 B5B1051.2,launch_outcome,12 June 2019,time
73,F9 B5B1056.2,SpaceX CRS-18,"2,268 kg",LEO,NASA,"Success
",F9 B5B1056.2,launch_outcome,25 July 2019,time
74,F9 B5B1047.3,AMOS-17,"6,500 kg",GTO,Spacecom,"Success
",F9 B5B1047.3,launch_outcome,6 August 2019,time
75,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,launch_outcome,11 November 2019,time
76,F9 B5,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",F9 B5,launch_outcome,5 December 2019,time
77,F9 B5B1056.3,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",F9 B5B1056.3,launch_outcome,17 December 2019,time
78,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,launch_outcome,7 January 2020,time
79,F9 B5,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
",F9 B5,launch_outcome,19 January 2020,time
80,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,launch_outcome,29 January 2020,time
81,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,launch_outcome,17 February 2020,time
82,F9 B5,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",F9 B5,launch_outcome,7 March 2020,time
83,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,launch_outcome,18 March 2020,time
84,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,launch_outcome,22 April 2020,time
85,F9 B5,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",F9 B5,launch_outcome,30 May 2020,time
86,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,launch_outcome,4 June 2020,time
87,F9 B5,Starlink,"15,410 kg",LEO,SpaceX,"Success
",F9 B5,launch_outcome,13 June 2020,time
88,F9 B5,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",F9 B5,launch_outcome,30 June 2020,time
89,F9 B5B1058.2,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",F9 B5B1058.2,launch_outcome,20 July 2020,time
90,F9 B5,Starlink,"14,932 kg",LEO,SpaceX,"Success
",F9 B5,launch_outcome,7 August 2020,time
91,F9 B5B1049.6,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",F9 B5B1049.6,launch_outcome,18 August 2020,time
92,F9 B5,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",F9 B5,launch_outcome,30 August 2020,time
93,F9 B5B1060.2,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.2,launch_outcome,3 September 2020,time
94,F9 B5B1058.3,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1058.3,launch_outcome,6 October 2020,time
95,F9 B5B1051.6,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.6,launch_outcome,18 October 2020,time
96,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,launch_outcome,24 October 2020,time
97,F9 B5,GPS III,"4,311 kg",MEO,USSF,"Success
",F9 B5,launch_outcome,5 November 2020,time
98,F9 B5,Crew-1,"~12,500 kg",LEO,NASA,"Success
",F9 B5,launch_outcome,16 November 2020,time
99,F9 B5,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",F9 B5,launch_outcome,21 November 2020,time
100,F9 B5 ♺,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,launch_outcome,25 November 2020,time
101,F9 B5 ♺,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",F9 B5 ♺,launch_outcome,6 December 2020,time
102,F9 B5 ♺,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5 ♺,launch_outcome,13 December 2020,time
103,F9 B5 ♺,NROL-108,C,LEO,NRO,"Success
",F9 B5 ♺,launch_outcome,19 December 2020,time
104,F9 B5,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",F9 B5,launch_outcome,8 January 2021,time
105,F9 B5B1051.8,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.8,launch_outcome,20 January 2021,time
106,F9 B5B1058.5,Transporter-1,"~5,000 kg",SSO,0,0,F9 B5B1058.5,0,24 January 2021,time
